SUBSTÂNCIA;LABORATÓRIO;PRODUTO;APRESENTAÇÃO;CLASSE TERAPÊUTICA;TIPO DE PRODUTO (STATUS DO PRODUTO);PMC Sem Impostos;TARJA;;
ACEBROFILINA;LABORATÓRIO FARMACÊUTICO ELOFAR LTDA;LISOMUC;5 MG / ML XPE  CT FR VD AMB X 100 ML + COP;R5C - EXPECTORANTES;Similar;25,49;- (*) ;;
ACEBROFILINA;LABORATÓRIO FARMACÊUTICO ELOFAR LTDA;LISOMUC;5 MG / ML XPE CT FR PET AMB X 120 ML + COP;R5C - EXPECTORANTES;Similar;30,61;- (*) ;;
ACEBROFILINA;LABORATÓRIO FARMACÊUTICO ELOFAR LTDA;LISOMUC;10 MG / ML XPE CT FR VD AMB X 100 ML + COP ;R5C - EXPECTORANTES;Similar;36,93;- (*) ;;
ACEBROFILINA;LABORATÓRIO FARMACÊUTICO ELOFAR LTDA;LISOMUC;10 MG / ML XPE CT FR PET AMB X 120 ML + COP;R5C - EXPECTORANTES;Similar;44,31;- (*) ;;
ACEBROFILINA;LABORATORIO GLOBO SA;ACEBROFILINA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;R5C - EXPECTORANTES;Genérico;20,85;Tarja Vermelha;;
ACEBROFILINA;LABORATORIO GLOBO SA;ACEBROFILINA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;R5C - EXPECTORANTES;Genérico;24,79;Tarja Vermelha;;
ACEBROFILINA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;MELYSSE;10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP  X 10 ML;R5C - EXPECTORANTES;Similar;45,12;Tarja Vermelha;;
ACEBROFILINA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;MELYSSE;5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP  X 10 ML;R5C - EXPECTORANTES;Similar;33,88;Tarja Vermelha;;
ACEBROFILINA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;MELYSSE;10 MG/ML XPE CT FR PLAS AMB X 60 ML + COP  X 10 ML;R5C - EXPECTORANTES;Similar;22,60;Tarja Vermelha;;
ACEBROFILINA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;MELYSSE;5 MG/ML XPE CT FR PLAS AMB X 60 ML + COP X 10 ML;R5C - EXPECTORANTES;Similar;16,93;Tarja Vermelha;;
ACEBROFILINA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;BRONDILAT;10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP  X 10 ML;R5C - EXPECTORANTES;Similar;61,93;Tarja Vermelha;;
ACEBROFILINA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;BRONDILAT;5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP  X 10 ML;R5C - EXPECTORANTES;Similar;41,81;Tarja Vermelha;;
ACEBROFILINA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;BRONDILAT;10 MG/ML XPE CT FR PLAS AMB X 60 ML + COP  X 10 ML;R5C - EXPECTORANTES;Similar;30,91;Tarja Vermelha;;
ACEBROFILINA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;BRONDILAT;5 MG/ML XPE CT FR PLAS AMB X 60 ML + COP X 10 ML;R5C - EXPECTORANTES;Similar;20,93;Tarja Vermelha;;
ACEBROFILINA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;25,93;Tarja Vermelha;;
ACEBROFILINA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED;R5C - EXPECTORANTES;Genérico;36,72;Tarja Vermelha;;
ACEBROFILINA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;ACEBROFILINA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;R5C - EXPECTORANTES;Genérico;25,93;Tarja Vermelha;;
ACEBROFILINA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;ACEBROFILINA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;R5C - EXPECTORANTES;Genérico;36,72;Tarja Vermelha;;
ACEBROFILINA;GERMED FARMACEUTICA LTDA;ACEBROFILINA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;25,95;Tarja Vermelha;;
ACEBROFILINA;GERMED FARMACEUTICA LTDA;ACEBROFILINA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;35,36;Tarja Vermelha;;
ACEBROFILINA;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;BRONCOMUCOL;10 MG/ML XPE CT FR VD AMB X 120 ML + COP ;R5C - EXPECTORANTES;Similar;32,24;- (*) ;;
ACEBROFILINA;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;BRONCOMUCOL;5 MG/ML XPE CT FR VD AMB X 120 ML + COP;R5C - EXPECTORANTES;Similar;23,11;- (*) ;;
ACEBROFILINA;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;ACEBROFILINA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;27,22;Tarja Vermelha;;
ACEBROFILINA;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;ACEBROFILINA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;40,26;Tarja Vermelha;;
ACEBROFILINA;PRATI DONADUZZI & CIA LTDA;ACEBROFILINA;5 MG/ ML XPE CX 50 FR PLAS OPC X 120 ML + 50 COP;R5C - EXPECTORANTES;Genérico;;Tarja Vermelha;;
ACEBROFILINA;CIMED INDUSTRIA S.A;ACEBROFILINA;10 MG/ML XPE CT FR PLAS PET AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;33,94;Tarja Vermelha;;
ACEBROFILINA;CIMED INDUSTRIA S.A;ACEBROFILINA;5 MG/ML XPE CT FR PLAS PET AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;24,47;Tarja Vermelha;;
ACEBROFILINA;CIMED INDUSTRIA S.A;ACEBROFILINA;10 MG/ML XPE CX 50 FR PLAS PET AMB X 120 ML + 50 COP;R5C - EXPECTORANTES;Genérico;634,98;Tarja Vermelha;;
ACEBROFILINA;CIMED INDUSTRIA S.A;ACEBROFILINA;5 MG/ML XPE CX 50 FR PLAS PET AMB X 120 ML + 50 COP;R5C - EXPECTORANTES;Genérico;621,26;Tarja Vermelha;;
ACEBROFILINA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;BRONTEK;10 MG/ML XPE CT FR VD AMB X 120 ML + COP;R5C - EXPECTORANTES;Similar;49,59;Tarja Vermelha;;
ACEBROFILINA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;BRONTEK;5 MG/ML XPE CT FR VD AMB X 120 ML + COP;R5C - EXPECTORANTES;Similar;35,58;Tarja Vermelha;;
ACEBROFILINA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;ACEBROFILINA;10MG/ML XPE CT FR VD AMB X 120ML + COP;R5C - EXPECTORANTES;Genérico;40,19;Tarja Vermelha;;
ACEBROFILINA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;ACEBROFILINA;5MG/ML XPE CT FR VD AMB X 120ML + COP;R5C - EXPECTORANTES;Genérico;27,18;Tarja Vermelha;;
ACEBROFILINA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;25,55;- (*) ;;
ACEBROFILINA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + COP;R5C - EXPECTORANTES;Genérico;34,69;- (*) ;;
ACEBROFILINA;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;BRONCOLEX;5 MG/ML XPE INF CT FR PLAS AMB X 120 ML + COP;R5C - EXPECTORANTES;Similar;26,96;Tarja Vermelha;;
ACEBROFILINA;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;BRONCOLEX;10 MG/ML XPE AD CT FR PLAS AMB X 120 ML + COP;R5C - EXPECTORANTES;Similar;36,72;Tarja Vermelha;;
ACEBROFILINA;GALLIA INDUSTRIA FARMACEUTICA LTDA;RESPIRAN;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;R5C - EXPECTORANTES;Similar;28,37;Tarja Vermelha;;
ACEBROFILINA;GALLIA INDUSTRIA FARMACEUTICA LTDA;RESPIRAN;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;R5C - EXPECTORANTES;Similar;40,92;Tarja Vermelha;;
ACECLOFENACO;EUROFARMA LABORATORIOS S.A.;PROFLAM;15 MG/G CREM CT TB AL X 30 G;M2A - ANTIRREUMÁTICOS E ANALGÉSICOS TÓPICOS;Novo;39,81;- (*) ;;
ACECLOFENACO;EUROFARMA LABORATORIOS S.A.;PROFLAM;100 MG COM REV CT BL AL/AL X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Novo;66,63;- (*) ;;
ACECLOFENACO;EUROFARMA LABORATORIOS S.A.;PROFLAM;100 MG COM REV CT BL AL / AL X 6;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Novo;32,10;- (*) ;;
ACECLOFENACO;EUROFARMA LABORATORIOS S.A.;ACECLOFENACO;100 MG COM REV CT BL AL/AL X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Genérico;42,52;- (*) ;;
ACECLOFENACO;EMS S/A;ACECLOFENACO;100 MG  COM  REV CT BL AL AL X 12;M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS;Genérico;43,30;- (*) ;;
