SUBSTÂNCIA;LABORATÓRIO;PRODUTO;APRESENTAÇÃO;CLASSE TERAPÊUTICA;TIPO DE PRODUTO (STATUS DO PRODUTO);PMC Sem Impostos;TARJA;;
CLORIDRATO DE FLUOXETINA;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;CLORIDRATO DE FLUOXETINA;20 MG CAP DURA CT BL AL PLAS PVC TRANS X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;33,51;Tarja Vermelha;;
CLORIDRATO DE FLUOXETINA;LABORATORIO GLOBO SA;CLORIDRATO DE FLUOXETINA;20 MG CAP DURA BL AL PLAS TRANS X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;36,29;Tarja Vermelha;;
CLORIDRATO DE FLUOXETINA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;CLORIDRATO DE FLUOXETINA;20 MG CAP DURA CT BL AL PLAS TRANS X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;169,56;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLUOXETINA;GERMED FARMACEUTICA LTDA;CLORIDRATO DE FLUOXETINA;20MG COM REV CT BL AL PLAS TRANS X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;56,04;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLUOXETINA;GERMED FARMACEUTICA LTDA;CLORIDRATO DE FLUOXETINA;20 MG CAP DURA CT BL AL PLAS TRANS X 28;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;92,44;Tarja Vermelha;;
CLORIDRATO DE FLUOXETINA;GERMED FARMACEUTICA LTDA;CLORIDRATO DE FLUOXETINA;20 MG CAP DURA CT BL AL PLAS TRANS X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;77,57;Tarja Vermelha;;
CLORIDRATO DE FLUOXETINA;GERMED FARMACEUTICA LTDA;CLORIDRATO DE FLUOXETINA;20 MG CAP DURA CT BL AL PLAS TRANS X 60;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;155,11;Tarja Vermelha;;
CLORIDRATO DE FLUOXETINA;GERMED FARMACEUTICA LTDA;CLORIDRATO DE FLUOXETINA;10 MG CAP DURA CT BL AL PLAS TRANS X 28;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;40,63;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLUOXETINA;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;CLORIDRATO DE FLUOXETINA;20 MG CAP DURA BL AL PLAS TRANS X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;45,83;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLUOXETINA;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;CLORIDRATO DE FLUOXETINA;20 MG CAP DURA BL AL PLAS TRANS X 300;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;436,19;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLUOXETINA;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;DETAQUE;20 MG CAP DURA BL AL PLAS TRANS X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Similar;41,74;Tarja Vermelha;;
CLORIDRATO DE FLUOXETINA;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;DETAQUE;20 MG CAP DURA BL AL PLAS TRANS X 60;N6A4 - ANTIDEPRESSIVOS SSRI;Similar;79,06;Tarja Vermelha;;
CLORIDRATO DE FLUOXETINA;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;DETAQUE;20 MG CAP DURA BL AL PLAS TRANS X 300;N6A4 - ANTIDEPRESSIVOS SSRI;Similar;;Tarja Vermelha;;
CLORIDRATO DE FLUOXETINA;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;CLORIDRATO DE FLUOXETINA;20 MG CAP DURA CT BL AL PLAS TRANS X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;51,54;- (*) ;;
CLORIDRATO DE FLUOXETINA;ELI LILLY DO BRASIL LTDA;PROZAC;20 MG CAP DURA CT BL AL PLAS TRANS X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Novo;327,78;Tarja Vermelha;;
CLORIDRATO DE FLUOXETINA;HIPOLABOR FARMACEUTICA LTDA;CLORIDRATO DE FLUOXETINA;20 MG CAP DURA CT BL AL PLAS TRANS X 500;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLUOXETINA;PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A;CLORIDRATO DE FLUOXETINA;20MG CAP DURA CT BL AL PLAS TRANS X 28;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;34,33;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLUOXETINA;PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A;CLORIDRATO DE FLUOXETINA;20MG CAP DURA CT BL AL PLAS TRANS X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;36,77;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLUOXETINA;PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A;CLORIDRATO DE FLUOXETINA;20MG CAP DURA CT BL AL PLAS TRANS X 60;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;73,53;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLUOXETINA;PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A;CLORIDRATO DE FLUOXETINA;20MG CAP DURA CT BL AL PLAS TRANS X 990;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLUOXETINA;RANBAXY FARMACÊUTICA LTDA;CLORIDRATO DE FLUOXETINA;20 MG CAP DURA CT BL AL PLAS TRANS X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;52,80;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLUOXETINA;PRATI DONADUZZI & CIA LTDA;CLORIDRATO DE FLUOXETINA;20 MG COM REV CT BL AL PLAS PVC TRANS X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;52,51;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLUOXETINA;PRATI DONADUZZI & CIA LTDA;CLORIDRATO DE FLUOXETINA;20 MG COM REV CT BL AL PLAS PVC TRANS X 300;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;525,22;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLUOXETINA;PRATI DONADUZZI & CIA LTDA;CLORIDRATO DE FLUOXETINA;20 MG COM REV CT BL AL PLAS PVC TRANS X 60;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;103,32;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLUOXETINA;EMS SIGMA PHARMA LTDA;DAFORIN;20 MG COM REV CT BL AL PLAS PVC TRANS X 20;N6A4 - ANTIDEPRESSIVOS SSRI;    -     ;55,64;Tarja Vermelha;;
CLORIDRATO DE FLUOXETINA;EMS SIGMA PHARMA LTDA;DAFORIN;20 MG COM REV CT BL AL PLAS PVC TRANS X 30;N6A4 - ANTIDEPRESSIVOS SSRI;    -     ;79,48;Tarja Vermelha;;
CLORIDRATO DE FLUOXETINA;EMS SIGMA PHARMA LTDA;DAFORIN;10 MG CAP DURA CT BL AL PLAS TRANS X 20;N6A4 - ANTIDEPRESSIVOS SSRI;    -     ;38,82;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLUOXETINA;EMS SIGMA PHARMA LTDA;DAFORIN;20 MG/ML SOL CT FR GOT PLAS TRANSL X 20 ML ;N6A4 - ANTIDEPRESSIVOS SSRI;    -     ;60,01;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLUOXETINA;EMS SIGMA PHARMA LTDA;DAFORIN;20 MG COM REV CT BL AL PLAS PVC TRANS X 60;N6A4 - ANTIDEPRESSIVOS SSRI;    -     ;158,97;Tarja Vermelha;;
CLORIDRATO DE FLUOXETINA;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;CLORIDRATO DE FLUOXETINA;20 MG CAP DURA BL AL PLAS TRANS X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;52,33;- (*) ;;
CLORIDRATO DE FLUOXETINA;CIMED INDUSTRIA S.A;CLORIDRATO DE FLUOXETINA;20 MG CAP DURA CT BL AL PLAS TRANS X 28;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;43,46;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLUOXETINA;CIMED INDUSTRIA S.A;CLORIDRATO DE FLUOXETINA;20 MG CAP DURA CT BL AL PLAS TRANS X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;48,68;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLUOXETINA;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;CLORIDRATO DE FLUOXETINA;20 MG CAP GEL DURA CT BL AL PLAS TRANS X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;52,66;- (*) ;;
CLORIDRATO DE FLUOXETINA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;CLORIDRATO DE FLUOXETINA;20 MG CAP DURA  CT BL AL PLAS TRANS X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;48,86;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLUOXETINA;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;CLORIDRATO DE FLUOXETINA;20 MG CAP DURA CT BL AL PLAS TRANS X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;75,37;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLUOXETINA;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;CLORIDRATO DE FLUOXETINA;20MG COM REV CT BL AL PLAS TRANS X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;51,69;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLUOXETINA;SANOFI MEDLEY FARMACÊUTICA LTDA.;CLORIDRATO DE FLUOXETINA;20 MG CAP DURA CT BL AL PLAS TRANS X 30;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;68,18;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLUOXETINA;SANOFI MEDLEY FARMACÊUTICA LTDA.;CLORIDRATO DE FLUOXETINA;20 MG/ML SOL OR CT FR PLAS TRANSL GOT X 20 ML;N6A4 - ANTIDEPRESSIVOS SSRI;Genérico;39,25;Tarja Vermelha sob restrição;;
CLORIDRATO DE FLURAZEPAM;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;DALMADORM;30 MG COM REV CT BL AL PLAS TRANS X 30;N5B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS;Similar;27,87;Tarja Preta;;
CLORIDRATO DE GENCITABINA;LIBBS FARMACÊUTICA LTDA;GENLIBBS;200 MG PÓ LIÓF INJ CT FA VD TRANS;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Similar;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;LIBBS FARMACÊUTICA LTDA;GENLIBBS;1 G PÓ LIÓF INJ CT FA VD TRANS;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Similar;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;FRESENIUS KABI BRASIL LTDA;CLORIDRATO DE GENCITABINA;200 MG PÓ LIOF SOL INJ IV CT FA VD TRANS;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Genérico;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;FRESENIUS KABI BRASIL LTDA;CLORIDRATO DE GENCITABINA;1 G PÓ LIOF SOL INJ IV CT FA VD TRANS;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Genérico;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;EUROFARMA LABORATORIOS S.A.;CLORIDRATO DE GENCITABINA;200 MG PO LIOF SOL INJ IV CT FA VD TRANS X 10 ML ;L1D - AGENTES ANTINEOPLÁSICOS ANTIBIÓTICOS;Genérico;;Tarja Vermelha sob restrição;;
CLORIDRATO DE GENCITABINA;EUROFARMA LABORATORIOS S.A.;CLORIDRATO DE GENCITABINA;200 MG PO LIOF SOL INJ IV CT 10 FA VD TRANS X 10 ML ;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Genérico;;Tarja Vermelha sob restrição;;
CLORIDRATO DE GENCITABINA;EUROFARMA LABORATORIOS S.A.;CLORIDRATO DE GENCITABINA;1 G PO LIOF SOL INJ IV CT FA VD TRANS X 50 ML ;L1D - AGENTES ANTINEOPLÁSICOS ANTIBIÓTICOS;Genérico;;Tarja Vermelha sob restrição;;
CLORIDRATO DE GENCITABINA;EUROFARMA LABORATORIOS S.A.;CLORIDRATO DE GENCITABINA;1 G PO LIOF SOL INJ IV CT 10 FA VD TRANS X 50 ML ;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Genérico;;Tarja Vermelha sob restrição;;
CLORIDRATO DE GENCITABINA;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;GEMCIT;40 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 5 ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Novo;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;GEMCIT;40 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 25 ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Novo;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;GEMCIT;40 MG/ML SOL DIL INFUS IV CT ENVOL FA VD TRANS X 5 ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Novo;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;GEMCIT;40 MG/ML SOL DIL INFUS IV CT ENVOL FA VD TRANS X 25 ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Novo;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;GCIB;200 MG PO LIOF SOL INJ CT FA VD TRANS X 10 ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Similar;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;GCIB;1 G PO LIOF SOL INJ CT FA VD TRANS X 50 ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Similar;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA;GENCIX;200 MG PO LIOF SOL INJ CT FA VD TRANS X 10 ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Similar;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA;GENCIX;200 MG PO LIOF SOL INJ CT 5 FA VD TRANS X 10 ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Similar;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA;GENCIX;200 MG PO LIOF SOL INJ CT 10 FA VD TRANS X 10 ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Similar;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA;GENCIX;1 G PO LIOF SOL INJ CT FA VD TRANS X 50 ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Similar;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA;GENCIX;1 G PO LIOF SOL INJ CT 5 FA VD TRANS X 50 ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Similar;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA;GENCIX;1 G PO LIOF SOL INJ CT 10 FA VD TRANS X 50 ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Similar;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;ELI LILLY DO BRASIL LTDA;GEMZAR;200 MG PO LIOF SOL INJ CT FA VD TRANS X 10 ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Novo;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;ELI LILLY DO BRASIL LTDA;GEMZAR;1 G PO LIOF SOL INJ CT FA VD TRANS X 50 ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Novo;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;BLAU FARMACEUTICA S.A.;CLORIDRATO DE GENCITABINA;200 MG PO LIOF SOL INJ IV CT FA VD TRANS;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Genérico;;- (*) ;;
CLORIDRATO DE GENCITABINA;BLAU FARMACEUTICA S.A.;CLORIDRATO DE GENCITABINA;1000 MG PO LIOF SOL INJ IV CT FA VD TRANS;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Genérico;1060,30;- (*) ;;
CLORIDRATO DE GENCITABINA;FARMARIN INDUSTRIA E COMERCIO LTDA;EVOZAR;200 MG PO LIOF INJ IV CT FA VD TRANS X 10 ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Similar;;- (*) ;;
CLORIDRATO DE GENCITABINA;FARMARIN INDUSTRIA E COMERCIO LTDA;EVOZAR;1G PO LIOF INJ IV CT FA VD TRANS X 50 ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Similar;;- (*) ;;
CLORIDRATO DE GENCITABINA;ACCORD FARMACÊUTICA LTDA;CLORIDRATO DE GENCITABINA;200 MG PO LIOF INJ CT FA VD TRANS X 10 ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Genérico;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;ACCORD FARMACÊUTICA LTDA;CLORIDRATO DE GENCITABINA;1000 MG PO LIOF INJ CT FA VD TRANS X 50 ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Genérico;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;ACCORD FARMACÊUTICA LTDA;GENABYX;200 MG PO LIOF INJ CT FA VD INC X 10 ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Similar;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;ACCORD FARMACÊUTICA LTDA;GENABYX;1000 MG PO LIOF INJ CT FA VD INC X 50 ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Similar;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;CAMBER FARMACEUTICA LTDA;CLORIDRATO DE GENCITABINA;200 MG PO LIOF SOL INJ IV CT FA VD TRANS;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Genérico;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;CAMBER FARMACEUTICA LTDA;CLORIDRATO DE GENCITABINA;1 G PO LIOF SOL INJ IV CT FA VD TRANS;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Genérico;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;CAMBER FARMACEUTICA LTDA;HETGEM;200 MG PO LIOF SOL INJ IV CT FA VD TRANS;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Similar;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;FARMA VISION IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA;CLORIDRATO DE GENCITABINA;200 MG PO LIOF SOL INJ IV CT FA VD TRANS;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Genérico;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;FARMA VISION IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA;CLORIDRATO DE GENCITABINA;1G PO LIOF SOL INJ IV CT FA VD TRANS;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Genérico;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;VIATRIS FARMACEUTICA DO BRASIL LTDA;MYLZAR;200 MG PÓ LIOF SOL INJ IV CT FA VD TRANS X 10ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Similar;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;VIATRIS FARMACEUTICA DO BRASIL LTDA;MYLZAR;200 MG PÓ LIOF SOL INJ IV CT 5 FA VD TRANS X 10ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Similar;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;VIATRIS FARMACEUTICA DO BRASIL LTDA;MYLZAR;200 MG PÓ LIOF SOL INJ IV CT 10 FA VD TRANS X 10ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Similar;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;VIATRIS FARMACEUTICA DO BRASIL LTDA;MYLZAR;1 G PÓ LIOF SOL INJ IV CT FA VD TRANS X 50ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Similar;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;VIATRIS FARMACEUTICA DO BRASIL LTDA;MYLZAR;1 G PÓ LIOF SOL INJ IV CT 5 FA VD TRANS X 50ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Similar;;Tarja Vermelha;;
CLORIDRATO DE GENCITABINA;VIATRIS FARMACEUTICA DO BRASIL LTDA;MYLZAR;1 G PÓ LIOF SOL INJ IV CT 10 FA VD TRANS X 50ML;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS;Similar;;Tarja Vermelha;;
CLORIDRATO DE GRANISETRONA;FRESENIUS KABI BRASIL LTDA;CLORIDRATO DE GRANISETRONA;1 MG/ML SOL INJ IV CX 50 AMP VD TRANS X 3 ML;A4A1 - ANTIEMÉTICOS E ANTINAUSEANTES, ANTAGONISTAS DA SEROTONINA;Genérico;;Tarja Vermelha;;
CLORIDRATO DE GRANISETRONA;EUROFARMA LABORATORIOS S.A.;CLORIDRATO DE GRANISETRONA;1 MG/ML SOL INJ CT 10 AMP VD TRANS X 3 ML;A4A1 - ANTIEMÉTICOS E ANTINAUSEANTES, ANTAGONISTAS DA SEROTONINA;Genérico;;- (*) ;;
CLORIDRATO DE GRANISETRONA;HALEX ISTAR INDUSTRIA FARMACEUTICA SA;QUEVATRYL;0,06 MG/ML SOL INFUS IV CX ENVOL BOLS PLAS PES/PE/PP TRANS SIST FECH X 50 ML;A4A1 - ANTIEMÉTICOS E ANTINAUSEANTES, ANTAGONISTAS DA SEROTONINA;Novo;;Tarja Vermelha;;
CLORIDRATO DE GRANISETRONA;HALEX ISTAR INDUSTRIA FARMACEUTICA SA;QUEVATRYL;0,06 MG/ML SOL INFUS IV CX 10 ENVOL BOLS PLAS PES/PE/PP TRANS SIST FECH X 50 ML;A4A1 - ANTIEMÉTICOS E ANTINAUSEANTES, ANTAGONISTAS DA SEROTONINA;Novo;;Tarja Vermelha;;
CLORIDRATO DE GRANISETRONA;HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMÁCIA LTDA;CLORIDRATO DE GRANISETRONA;1 MG/ML SOL INJ IV CT AMP VD TRANS X 3 ML;A4A1 - ANTIEMÉTICOS E ANTINAUSEANTES, ANTAGONISTAS DA SEROTONINA;Genérico;;Tarja Vermelha;;
CLORIDRATO DE GRANISETRONA;LABORATÓRIOS BAGÓ DO BRASIL S/A;KYTRIL;1 MG/ML SOL INJ CT AMP  VD TRANS X 3 ML;A4A1 - ANTIEMÉTICOS E ANTINAUSEANTES, ANTAGONISTAS DA SEROTONINA;Novo;;- (*) ;;
CLORIDRATO DE GRANISETRONA;LABORATÓRIOS BAGÓ DO BRASIL S/A;KYTRIL;1 MG/ML SOL INJ CT AMP  VD TRANS X 1 ML;A4A1 - ANTIEMÉTICOS E ANTINAUSEANTES, ANTAGONISTAS DA SEROTONINA;Novo;;- (*) ;;
CLORIDRATO DE HIDRALAZINA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;NEPRESOL;20 MG/ML SOL INJ IM/IV CX 50 AMP VD TRANS X 1 ML;C2A2 - ANTI-HIPERTENSIVOS PURO-AÇÃO PERIFÉRICA;Similar;;Tarja Vermelha;;
CLORIDRATO DE HIDRALAZINA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;NEPRESOL;20 MG/ML SOL INJ IM/IV CX 25 AMP VD TRANS X 1 ML;C2A2 - ANTI-HIPERTENSIVOS PURO-AÇÃO PERIFÉRICA;Similar;;Tarja Vermelha;;
CLORIDRATO DE HIDRALAZINA;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;APRESOLINA;25 MG COM REV CT BL AL/AL X 20 ;C2A2 - ANTI-HIPERTENSIVOS PURO-AÇÃO PERIFÉRICA;Novo;8,64;Tarja Vermelha;;
CLORIDRATO DE HIDRALAZINA;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;APRESOLINA;25 MG COM REV CT BL AL/AL X 60;C2A2 - ANTI-HIPERTENSIVOS PURO-AÇÃO PERIFÉRICA;Novo;25,96;Tarja Vermelha;;
CLORIDRATO DE HIDRALAZINA;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;APRESOLINA;50 MG COM REV CT BL AL PLAS TRANS X 20;C2A2 - ANTI-HIPERTENSIVOS PURO-AÇÃO PERIFÉRICA;Novo;11,56;Tarja Vermelha;;
CLORIDRATO DE HIDRALAZINA;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;APRESOLINA;50 MG COM REV CT BL AL PLAS TRANS X 60;C2A2 - ANTI-HIPERTENSIVOS PURO-AÇÃO PERIFÉRICA;Novo;34,71;Tarja Vermelha;;
CLORIDRATO DE HIDROXIZINA;THERASKIN FARMACEUTICA LTDA.;HIXIZINE;25 MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 10;R6A - ANTI-HISTAMÍNICOS SISTÊMICOS;Similar;15,87;Tarja Vermelha;;
CLORIDRATO DE HIDROXIZINA;THERASKIN FARMACEUTICA LTDA.;HIXIZINE;2 MG/ML SOL OR CT FR PLAS PET AMB X 60 ML + SER DOS;R6A - ANTI-HISTAMÍNICOS SISTÊMICOS;Similar;18,06;Tarja Vermelha;;
CLORIDRATO DE HIDROXIZINA;LABORATORIO GLOBO SA;CLORIDRATO DE HIDROXIZINE;10MG/5ML SOL OR CT FR PLAS AMB X 100 ML+ COP;R6A - ANTI-HISTAMÍNICOS SISTÊMICOS;Genérico;24,07;Tarja Vermelha;;
CLORIDRATO DE HIDROXIZINA;GERMED FARMACEUTICA LTDA;DROXY;25 MG COM CT FR PLAS OPC X 30;R6A - ANTI-HISTAMÍNICOS SISTÊMICOS;Similar;32,01;- (*) ;;
